carrera,institucion,direccion,pagina_web,telefono
Diseño Gráfico,UNIVERSIDAD CATOLICA DE TEMUCO,"Av. Alemania 422, Temuco, IX Región, Chile",https://admision.uct.cl/dis-grafico/,+56 45 2203822
Diseño Gráfico,UNIVERSIDAD DE CHILE,"Portugal 84, Santiago, Región Metropolitana, Chile",http://www.fau.uchile.cl/diseno,+56 2 29783078
Diseño Gráfico,UNIVERSIDAD DE LAS AMERICAS,"Av. Manuel Montt 948, Providencia, Región Metropolitana, Chile",http://admision.udla.cl/carrera/diseno-grafico,+56 2 22531888
Diseño Gráfico,UNIVERSIDAD DEL BIO-BIO,"Av. Casilla 5-C - Collao 1202, Concepción, Región del Bío Bío, Chile",http://ubiobio.cl/admision/Arquitectura_Construccion_Diseno/3/Diseno_Grafico/,+56 3111200
Diseño Gráfico,UNIVERSIDAD DEL PACIFICO,"Av. Las Condes 11121, Las Condes, Región Metropolitana, Chile",http://web.upacifico.cl/noticias/categoria/carreras/diseno-grafico/,+56 2 28625315
Diseño Gráfico Computacional,CFT ICEL,"Av Libertador Bernardo O'Higgins 2520, Santiago, Región Metropolitana, Chile",http://www.icel.cl/diseno-grafico-computacional/,+56 2 24399999
Diseño Gráfico Computacional,CFT ICEL,"Av. Los Pajaritos 4650, Maipú, Región Metropolitana, Chile",http://www.icel.cl/diseno-grafico-computacional/,+56 2 24399999
Diseño Gráfico Profesional,IP AIEP,"Av. Ejército Libertador 49, Santiago, Región Metropolitana, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,+56 6005855050
Diseño Gráfico Profesional,IP AIEP,"Triana 820, Providencia, Región Metropolitana, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,+56 6005855050
Diseño Gráfico Profesional,IP AIEP,"Cuevas 70, Rancagua, VI Región, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,+56 6005855050
Diseño Gráfico Profesional,IP AIEP,"Barros Arana 302, Concepción, Región del Bío Bío, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,+56 6005855050
Diseño Gráfico Profesional,IP AIEP,"Ejército 200, Puerto Montt, X Región, Chile",http://www.aiep.cl/carrera/diseno-grafico/43/,+56 6005855050
Diseño Gráfico Profesional,IP INACAP,"Av. La Tirana 4310, Iquique, Región de Tarapacá, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,+56 57 517966
Diseño Gráfico Profesional,IP INACAP,"Francisco de Aguirre 389, La Serena, Región de Coquimbo, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,+56 51 553500
Diseño Gráfico Profesional,IP INACAP,"Apoquindo Ote. 7282, Las Condes, Región Metropolitana, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,+56 2 24722500
Diseño Gráfico Profesional,IP INACAP,"Brown Nte 290, Ñuñoa, Región Metropolitana, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,+56 2 4766100
Diseño Gráfico Profesional,IP INACAP,"Av. Concha Y Toro 2730, Puente Alto, Región Metropolitana, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,+56 800202520
Diseño Gráfico Profesional,IP INACAP,"Merced 333, Curicó, Romeral, VII Región, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,+56 75 543004
Diseño Gráfico Profesional,IP INACAP,"Luis Durand 2150, Temuco, IX Región, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,+56 45 916700
Diseño Gráfico Profesional,IP INACAP,"Alcalde René Soriano Bórquez 2382, Osorno, X Región, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,+56 64 2557100
Diseño Gráfico Profesional,IP INACAP,"Pedro Sarmiento de Gamboa 4, Punta Arenas, Región de Magallanes y de la Antártica Chilena, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,+56 61 713100
Diseño Gráfico Profesional ,IP INACAP,"Santa María 2190, Arica, Región de Arica y Parinacota, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/diseno-grafico-profesional-cod-a7-a70-5,+56 58 583900
Diseño Gráfico Publicitario,IP LOS LEONES,"Arturo Prat 269, Santiago, Región Metropolitana, Chile",http://www.ipleones.cl/carreras/diseno-grafico-publicitario,+56 2 26521200
Diseño Industrial,IP DUOC UC,"Álvarez 2336, Viña del Mar, Región de Valparaíso, Chile",http://www.duoc.cl/carrera/diseno-industrial,+56 2 29993862
Diseño Industrial,IP DUOC UC,"Camino El Alba 12881, Las Condes, Región Metropolitana, Chile",http://www.duoc.cl/carrera/diseno-industrial,+56 2 29993862
Diseño Industrial,IP DUOC UC,"Av. Américo Vespucio 1501, Los Cerrillos, Cerrillos, Región Metropolitana, Chile",http://www.duoc.cl/carrera/diseno-industrial,+56 2 29993862
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,"Brasil 2950, Valparaíso, Región de Valparaíso, Chile",http://www.pucv.cl/pucv/pregrado/diseno-industrial/2015-06-08/162247.html,+56 32 2273000
Diseño Industrial,UNIVERSIDAD DE CHILE,"Portugal 84, Santiago, Región Metropolitana, Chile",http://www.uchile.cl/carreras/4929/diseno,+56 2 29783011
Diseño Industrial,UNIVERSIDAD TECNOLOGICA METROPOLITANA,"Dieciocho 161, Santiago, Región Metropolitana, Chile",https://fhtcs.utem.cl/carreras-ingreso-psu/diseno-industrial/,+56 2 27877500
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,"Benavente 980, La Serena, Región de Coquimbo, Chile",http://www.userena.cl/boton-carreras/category/facultad-de-humanidades-2.html,+56 51 2204000
Diseño Mención Industrial/Gráfico/Ambienstes,UNIVERSIDAD MAYOR,"Portugal 351, Santiago, Región Metropolitana, Chile",https://www.umayor.cl/um/carreras/diseno-santiago/10000,+56 6003281000
Diseño Multimedia,UNIVERSIDAD DE TARAPACA,"Gral Velásquez 1775, Arica, Región de Arica y Parinacota, Chile",http://admision.uta.cl/diseno-multimedia/admision/2016-03-01/172441.html,+56 58 2205100
Diseño Teatral,CFT DEL MEDIO AMBIENTE,"Compañía de Jesús 1264, Santiago, Región Metropolitana, Chile",http://idma.cl/carreras/,+56 2 26873625
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,"Av. Las Condes 11121, Las Condes, Región Metropolitana, Chile",http://www.upacifico.cl/carrera/diseno-de-vestuario-y-textiles#!/carrera/diseno-de-vestuario-y-textiles,+56 2 28625315
Diseño Web & Mobile,CFT INACAP,"Apoquindo Ote. 7282, Las Condes, Región Metropolitana, Chile",http://www.inacap.cl/tportalvp/diseno-y-comunicaciones/contenido/carreras/carrera-diseno-y-programacion-multimedia,+56 2 24722500
Diseño y Producción Gráfica,CFT INACAP,"Santa María 2190, Arica, Región de Arica y Parinacota, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,+56 58 2578800
Diseño y Producción Gráfica,CFT INACAP,"Av. La Tirana 4310, Iquique, Región de Tarapacá, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,+56 57 2544900
Diseño y Producción Gráfica,CFT INACAP,"Francisco de Aguirre 389, La Serena, Región de Coquimbo, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,+56 51 2553500
Diseño y Producción Gráfica,CFT INACAP,"Apoquindo Ote. 7282, Las Condes, Región Metropolitana, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,+56 2 24722500
Diseño y Producción Gráfica,CFT INACAP,"Brown Nte 290, Ñuñoa, Región Metropolitana, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,+56 2 24766100
Diseño y Producción Gráfica,CFT INACAP,"Av. Concha Y Toro 2730, Puente Alto, Región Metropolitana, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,+56 2 28162300
Diseño y Producción Gráfica,CFT INACAP,"Ruta 5 6, Curicó, Romeral, VII Región, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,+56 75 2547400
Diseño y Producción Gráfica,CFT INACAP,"Luis Durand 2150, Temuco, IX Región, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,+56 45 2916700
Diseño y Producción Gráfica,CFT INACAP,"Alcalde René Soriano Bórquez 2382, Osorno, X Región, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,+56 64 2557100
Diseño y Producción Gráfica,CFT INACAP,"Pedro Sarmiento de Gamboa 4, Punta Arenas, Región de Magallanes y de la Antártica Chilena, Chile",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-y-produccion-grafica,+56 61 2713100
Técnico en Diseño Publicitario Multimedial,IP SANTO TOMAS,"Río Copiapó Sur 2351, Copiapó, III Región, Chile",http://ipcft.santotomas.cl/carreras/tecnico-diseno-digital-publicitario/,+56 6004444444
